"X","Y","id"
-134.565556,58.3888889991586,"sens_840021100004"
-124.6203,48.2866999990632,"sens_840530090013"
-124.610046,48.3660579990635,"sens_840530090015"
-124.291801,47.33980199906,"sens_840530270011"
-124.263885,43.3819429990582,"sens_840410111036"
-123.8317,46.9771999990591,"sens_840530272002"
-123.677087,41.0474539990655,"sens_840MMCA81044"
-123.64835,42.1616999990612,"sens_840410330036"
-123.537161,41.3042159990644,"sens_840MMCA81016"
-123.436434,48.1149999990625,"sens_840530090017"
-123.375242,41.7962729990625,"sens_840MMCA81027"
-123.36479,43.2265999990585,"sens_840410190002"
-123.352661,39.4117429990744,"sens_840060452002"
-123.348466,42.4341489990604,"sens_840410330114"
-123.2673,44.5883999990568,"sens_840410030013"
-123.2321,42.2900939990608,"sens_840410330011"
-123.206528,39.150477999076,"sens_840060450006"
-123.14135,44.0672229990572,"sens_840410390059"
-123.12107,44.1157999990572,"sens_840840410390101"
-123.100807,47.2135509990597,"sens_840530450007"
-123.091457,44.6156899990568,"sens_840410430009"
-123.08377,44.0262999990573,"sens_840410390060"
-123.0535,43.7994999990575,"sens_840410399004"
-123.024817,38.8003209990784,"sens_840MMCA81039"
-123.017736,44.0466829990572,"sens_840410391009"
-123.005934,44.9431139990568,"sens_840410470041"
-122.972398,45.528500999057,"sens_840410670004"
-122.967323,46.6640889990585,"sens_840530410004"
-122.9619,46.1393999990576,"sens_840530150015"
-122.941109,40.734721999067,"sens_840061050002"
-122.880266,42.3315499990607,"sens_840410292129"
-122.821503,47.0293009990592,"sens_840530670013"
-122.818294,38.4037649990813,"sens_840060970004"
-122.8159,45.4701999990569,"sens_840410670111"
-122.810158,42.6232249990599,"sens_840410290019"
-122.790382,45.0149979990568,"sens_840410470007"
-122.7789,48.1291009990626,"sens_840530310003"
-122.7721,45.7685309990572,"sens_840410090004"
-122.7455,45.3991599990569,"sens_840410670005"
-122.7305,44.395799999057,"sens_840410432002"
-122.7086,42.1940999990611,"sens_840410290203"
-122.660004,48.2943989990632,"sens_840530299999"
-122.63359,41.7267899990627,"sens_840060932001"
-122.627397,47.5926749990608,"sens_840530350007"
-122.617048,44.7787429990568,"sens_840410432003"
-122.61428,48.5205899990641,"sens_840530570011"
-122.602877,45.4966409990569,"sens_840410510080"
-122.588151,45.2592799990568,"sens_840410050004"
-122.58737,45.643359999057,"sens_840530110024"
-122.559998,48.4654009990639,"sens_840530579999"
-122.554398,48.9506989990659,"sens_840530730005"
-122.5189,37.9721999990846,"sens_840060410001"
-122.480506,43.7443599990576,"sens_840410392013"
-122.479084,38.5075519990805,"sens_840840MMCA81046"
-122.46256,47.2263399990597,"sens_840530530024"
-122.456463,48.7600359990651,"sens_840530730019"
-122.4517,47.1863999990596,"sens_840530530029"
-122.410889,45.8638989990573,"sens_840530110022"
-122.3978,37.7657999990863,"sens_840060750005"
-122.3858,47.2655999990598,"sens_840530530031"
-122.3405,47.5619999990607,"sens_840530330057"
-122.337601,48.4101979990636,"sens_840530570015"
-122.3203,47.5296999990606,"sens_840530331011"
-122.319722,47.5972219990608,"sens_840530330030"
-122.302741,37.8647669990855,"sens_840060010013"
-122.299202,47.1404989990595,"sens_840530531018"
-122.282402,37.8147999990859,"sens_840060010011"
-122.278385,47.4985349990605,"sens_840840530330069"
-122.277192,47.7536329990613,"sens_840530330024"
-122.275024,38.2788489990823,"sens_840060550004"
-122.263376,37.7936239990861,"sens_840060010012"
-122.237976,38.1025069990836,"sens_840060950004"
-122.230202,47.3861009990602,"sens_840530332004"
-122.2022,37.4827999990887,"sens_840060811001"
-122.190834,39.5338699990736,"sens_840060210003"
-122.175797,48.0549999990623,"sens_840530611007"
-122.169907,37.7430609990865,"sens_840060010009"
-122.148397,47.6008629990608,"sens_840530330031"
-122.1471,48.9476999990659,"sens_840840530739992"
-122.132971,38.2114789990828,"sens_840MMCA81032"
-122.083092,37.0631499990923,"sens_840060871005"
-122.025,37.9382999990849,"sens_840060130002"
-121.99887,39.1891899990758,"sens_840060111002"
-121.98822,36.983319999093,"sens_840060870007"
-121.9617,38.3524999990817,"sens_840060953002"
-121.903019,37.7012219990868,"sens_840060010015"
-121.8947,37.3482999990898,"sens_840060850005"
-121.849892,37.3382019990899,"sens_840060850006"
-121.84047,39.7616799990722,"sens_840060070008"
-121.784217,37.6875259990869,"sens_840060010007"
-121.7734,38.5345499990803,"sens_840061130004"
-121.772697,47.4901999990605,"sens_840530330017"
-121.733816,39.6750959990727,"sens_840MMCA81045"
-121.73333,36.4818699990977,"sens_840060530002"
-121.7278,38.6618999990794,"sens_840061131003"
-121.70564,38.1883899990829,"sens_840060959999"
-121.66881,39.3275599990749,"sens_840060074001"
-121.623271,36.6942609990957,"sens_840060531003"
-121.61884,39.1386799990761,"sens_840061010003"
-121.603104,48.246798999063,"sens_840530610020"
-121.574943,39.472095999074,"sens_840MMCA81041"
