"countyFIPS","date","aerosols","pm25","State","deaths","cases","death_rate","case_rate"
"06001",2020-03-15,-1.68769526481628,2.71346153846154,"CA",0,15,0,8.9748936325523e-06
"06001",2020-03-16,-1.62734937667847,2.09230769230769,"CA",0,18,0,1.07698723590628e-05
"06001",2020-03-17,-0.777678240398587,3.62692307692308,"CA",0,27,0,1.61548085385941e-05
"06001",2020-03-18,-0.973404347896576,4.30576923076923,"CA",0,31,0,1.85481135072747e-05
"06001",2020-03-19,-2.5003035068512,5.14423076923077,"CA",0,35,0,2.09414184759554e-05
"06001",2020-03-20,-2.77131577405355,5.40384615384616,"CA",0,45,0,2.69246808976569e-05
"06001",2020-03-21,-0.535878658294678,5.93269230769231,"CA",0,65,0,3.889120574106e-05
"06001",2020-03-22,-0.920398950576782,6.35961538461538,"CA",0,106,0,6.34225816700362e-05
"06001",2020-03-23,-1.17517805099487,5.97884615384616,"CA",1,122,5.98326242170153e-07,7.29958015447587e-05
"06001",2020-03-24,-1.15904999799608,3.45576923076923,"CA",2,124,1.19665248434031e-06,7.4192454029099e-05
"06001",2020-03-25,-2.76616939321555,2.54230769230769,"CA",2,135,1.19665248434031e-06,8.07740426929707e-05
"06001",2020-03-26,-3.6847538755561,2.17600732600732,"CA",4,163,2.39330496868061e-06,9.7527177473735e-05
"06001",2020-03-27,-0.749529093503952,5.09615384615385,"CA",4,220,2.39330496868061e-06,0.000131631773277434
"06001",2020-03-28,-0.463955119252205,9.44230769230769,"CA",6,256,3.58995745302092e-06,0.000153171517995559
"06001",2020-03-29,-0.0261636022478342,6.1,"CA",7,270,4.18828369519107e-06,0.000161548085385941
"06001",2020-03-30,-1.34113717079163,2.46538461538461,"CA",7,283,4.18828369519107e-06,0.000169326326534153
"06001",2020-03-31,-1.42526709327033,2.09038461538462,"CA",7,313,4.18828369519107e-06,0.000187276113799258
"06001",2020-04-01,-1.53398454189301,3.83846153846154,"CA",8,359,4.78660993736123e-06,0.000214799120939085
"06001",2020-04-02,-1.15033507347107,4.30576923076923,"CA",9,396,5.38493617953138e-06,0.000236937191899381
"06001",2020-04-03,-0.814657807350159,4.59615384615384,"CA",12,443,7.17991490604184e-06,0.000265058525281378
"06001",2020-04-04,-1.45879550634769,3.25192307692308,"CA",12,537,7.17991490604184e-06,0.000321301192045372
"06001",2020-04-05,-1.0040191411972,1.88076923076923,"CA",12,566,7.17991490604184e-06,0.000338652653068307
"06001",2020-04-06,-0.455610036849976,3.64038461538462,"CA",13,588,7.77824114821199e-06,0.00035181583039605
"06001",2020-04-07,-1.17953351140022,4.70769230769231,"CA",15,634,8.9748936325523e-06,0.000379338837535877
"06001",2020-04-08,-1.66205406188965,4.49423076923077,"CA",16,674,9.57321987472245e-06,0.000403271887222683
"06001",2020-04-09,-0.175569593906403,3.29230769230769,"CA",17,713,1.01715461168926e-05,0.000426606610667319
"06001",2020-04-10,-2.526948591769,4.49038461538461,"CA",20,766,1.19665248434031e-05,0.000458317901502337
"06001",2020-04-11,-2.30838632583618,4.79423076923077,"CA",21,806,1.25648510855732e-05,0.000482250951189143
"06001",2020-04-12,-1.06418118380105,6.99230769230769,"CA",23,843,1.37615035699135e-05,0.000504389022149439
"06001",2020-04-13,-1.39996892213821,11.6826923076923,"CA",23,884,1.37615035699135e-05,0.000528920398078415
"06001",2020-04-14,-1.285035102333,9.05961538461539,"CA",23,884,1.37615035699135e-05,0.000528920398078415
"06001",2020-04-15,-1.1627836227417,8.24423076923077,"CA",36,962,2.15397447181255e-05,0.000575589844967687
"06001",2020-04-16,-2.30776294248834,6.76153846153847,"CA",39,1007,2.3334723444636e-05,0.000602514525865344
"06001",2020-04-17,-2.19720578193665,4.36153846153847,"CA",39,1061,2.3334723444636e-05,0.000634824142942533
"06001",2020-04-18,-1.38353788852692,5.20192307692307,"CA",41,1114,2.45313759289763e-05,0.000666535433777551
"06001",2020-04-19,-1.22712824780171,5.39615384615385,"CA",42,1164,2.51297021711464e-05,0.000696451745886058
"06001",2020-04-20,-2.07086145877838,5.32115384615384,"CA",42,1191,2.51297021711464e-05,0.000712606554424653
"06001",2020-04-21,-1.61399638652802,4.97884615384616,"CA",43,1239,2.57280284133166e-05,0.00074132621404882
"06001",2020-04-22,-1.54397058486938,5.77692307692308,"CA",45,1280,2.69246808976569e-05,0.000765857589977796
"06001",2020-04-23,-1.17845344543457,3.87692307692307,"CA",46,1350,2.7523007139827e-05,0.000807740426929707
"06001",2020-04-24,-1.12380919488709,6.67115384615385,"CA",48,1401,2.87196596241674e-05,0.000838255065280385
"06001",2020-04-25,-1.27425897121429,7.31538461538462,"CA",52,1437,3.1112964592848e-05,0.00085979480999851
"06001",2020-04-26,-1.34101903438568,4.63461538461539,"CA",52,1468,3.1112964592848e-05,0.000878342923505785
"06001",2020-04-27,-1.81835688804293,7.05576923076923,"CA",52,1498,3.1112964592848e-05,0.00089629271077089
"06001",2020-04-28,-1.24480324983557,4.68653846153846,"CA",55,1533,3.29079433193584e-05,0.000917234129246845
"06001",2020-04-29,-1.33847767070771,3.19615384615385,"CA",57,1568,3.41045958036987e-05,0.0009381755477228
"06001",2020-04-30,-1.25935053825325,3.64615384615385,"CA",60,1603,3.58995745302092e-05,0.000959116966198756
"06001",2020-05-01,-1.42954021393423,5.68076923076923,"CA",62,1636,3.70962270145495e-05,0.000978861732190371
"06001",2020-05-02,-1.83680797851637,2.84807692307692,"CA",63,1705,3.76945532567197e-05,0.00102014624290011
