"date","FIPS","hospitalizations","aerosols","pm25"
2020-04-08,"1",96,-1.31052963767744,6.31498522058443
2020-04-08,"2",37,-1.51034178762367,9.69513572955735
2020-04-08,"3",4,-1.32570828192065,9.29890537203525
2020-04-08,"5",3,-1.18466811634619,4.68111870427072
2020-04-08,"6",0,-1.39901970373119,6.5
2020-04-08,"7",10,-1.38709756999567,5.17864480633866
2020-04-08,"9",5,-1.08872530670441,5.76412978281271
2020-04-09,"1",97,-1.24525391671236,6.70496036429461
2020-04-09,"2",36,-1.56959267369503,8.19498089123032
2020-04-09,"3",7,-1.48386045642016,11.2863883258172
2020-04-09,"5",3,-1.31086545942518,5.14792580462455
2020-04-09,"6",0,-1.13924410930993,7.23461538461539
2020-04-09,"7",8,-1.26588420621876,6.0856315727064
2020-04-09,"9",6,-1.0467815451212,6.318824109693
2020-04-10,"1",102,-1.42850609151891,4.74112767931972
2020-04-10,"2",35,-1.69415485197688,6.15870813258453
2020-04-10,"3",8,-1.55121773278559,8.9212634419191
2020-04-10,"5",2,-1.3912239821271,4.71238769773467
2020-04-10,"6",0,-1.27362903036199,6.30769230769231
2020-04-10,"7",7,-1.27260200018825,5.6388610904353
2020-04-10,"9",2,-0.839004461114616,5.24142469533557
2020-04-11,"1",94,-2.02762605780685,3.6776180298801
2020-04-11,"2",34,-1.90732721258588,4.37480040603608
2020-04-11,"3",7,-1.7059863716403,4.18571874609372
2020-04-11,"5",2,-2.29899390266452,4.17529643209066
2020-04-11,"6",0,-1.47442930766312,3.44230769230769
2020-04-11,"7",8,-1.40085911189273,3.20986349200453
2020-04-11,"9",1,-1.30615351111313,3.30445209036691
2020-04-12,"1",94,-1.26022401739304,5.58009875153218
2020-04-12,"2",30,-1.53717285101581,6.94572926749042
2020-04-12,"3",6,-1.36937405376503,7.43651620004685
2020-04-12,"5",2,-1.21291977253841,3.53568673756479
2020-04-12,"6",0,-1.34819533513882,4.20769230769231
2020-04-12,"7",7,-1.29816438031014,4.11842269332918
2020-04-12,"9",1,-1.35080827090372,4.02422995567153
2020-04-13,"1",97,-1.35448692336068,8.5213025397027
2020-04-13,"2",28,-1.61688914161766,6.1358181182142
2020-04-13,"3",8,-1.40482461978181,7.57224106856816
2020-04-13,"5",2,-1.30161871388771,3.84055037369036
2020-04-13,"6",0,-1.34002635380844,3.80769230769231
2020-04-13,"7",6,-1.44779047233212,3.97850269801517
2020-04-13,"9",1,-1.06401953881524,4.24348125901745
2020-04-14,"1",106,-1.31286076472126,4.9909854663836
2020-04-14,"2",28,-1.67778666695485,5.88036107149309
2020-04-14,"3",9,-1.51962595832913,6.9386258023312
2020-04-14,"5",1,-1.40613538733355,4.32684793232647
2020-04-14,"6",0,-1.47967047204449,4.11153846153846
2020-04-14,"7",5,-1.48447968380297,4.27077317385733
2020-04-14,"9",1,-1.26158953730178,4.46341436103177
2020-04-15,"1",104,-1.92634328784067,3.06126944990126
2020-04-15,"2",27,-0.789275682791431,3.36427554508861
2020-04-15,"3",8,-2.2274925402883,3.81692911932794
2020-04-15,"5",1,-2.09688617297027,3.6154940152429
2020-04-15,"6",0,-2.0393388225871,2.96538461538462
2020-04-15,"7",4,-1.54689324433931,2.77089678109718
2020-04-15,"9",1,-1.35469681547682,3.05067669516026
2020-04-16,"1",115,-1.49090246828161,3.04979115855105
2020-04-16,"2",23,-1.76623941074059,4.12852051614573
2020-04-16,"3",8,-1.5087449501446,5.40905986140617
2020-04-16,"5",1,-1.56579212304926,2.78847949535154
2020-04-16,"6",0,-1.44112594983408,3.00384615384615
2020-04-16,"7",3,-1.33338990027572,2.92850399809132
2020-04-16,"9",0,-1.00515873784083,2.78960682573201
2020-04-17,"1",104,-1.32984671543471,3.17964713555344
2020-04-17,"2",23,-1.60068657700097,3.50776658587286
2020-04-17,"3",7,-1.28309458876888,5.5220209647097
2020-04-17,"5",1,-1.11905122892687,3.38452394164709
2020-04-17,"6",0,-1.42251939461567,3.50769230769231
2020-04-17,"7",4,-1.34411092797004,3.40910307603731
2020-04-17,"9",1,-1.02464367891958,3.93184384946212
2020-04-18,"1",97,-0.521323680867556,4.07815101602845
2020-04-18,"2",22,-0.764153983918269,4.89964831775424
2020-04-18,"3",7,-1.41485365213864,5.19654881344249
2020-04-18,"5",1,-1.44019798936408,3.32346396887672
2020-04-18,"6",0,-1.21000648007687,3.7
