"out","var","tim","lag","estimate","std.error","p.value","aic","nrow"
"death_rate","pm25","recent",2,-2.06670204921402e-09,1.70976806221692e-09,0.226860473326591,-58122.6769803226,2722
"case_rate","pm25","recent",2,-1.02569656843646e-07,4.47151426576149e-08,0.0218759405385602,-40353.7087858496,2722
"hosp_rate","aerosols_bin","recent",2,1.94380561459677e-06,5.08549677153976e-06,0.702345229772131,-27528.6512977229,1624
"death_rate","aerosols_bin","recent",2,1.07313586423075e-06,4.35418554607038e-07,0.0137594407775822,-82289.2495293386,3905
"case_rate","aerosols_bin","recent",2,-1.06170595420922e-05,9.19452231247964e-06,0.248278095879951,-58468.3166841197,3905
"hosp_rate","pm25_bin","recent",2,8.75994759223873e-06,4.47022119607151e-06,0.0502736249340761,-20514.420917288,1214
"death_rate","pm25_bin","recent",2,1.02910369683883e-07,2.83693209745666e-07,0.716818359242559,-58121.3345416916,2722
"case_rate","pm25_bin","recent",2,1.36620948352876e-06,7.42472010091384e-06,0.854020854819528,-40348.433720127,2722
"hosp_rate","aerosols","long.term",2,1.14221095527767e-05,8.60408953859941e-07,7.51734921906278e-40,-147954.445051883,9341
"death_rate","aerosols","long.term",2,2.90913443379528e-07,2.78373108700078e-07,0.296012646969819,-362144.581177391,20950
"case_rate","aerosols","long.term",2,1.00892912315522e-05,2.72221337209691e-06,0.000210870134873762,-266602.599062054,20950
"hosp_rate","pm25","long.term",2,3.45950983288901e-08,4.55016000076272e-08,0.447096117617783,-121773.35821158,7686
"death_rate","pm25","long.term",2,-1.6528800757344e-09,1.38693313521368e-08,0.905138021352059,-284335.567782765,16664
"case_rate","pm25","long.term",2,2.16344034372302e-08,1.27721776496556e-07,0.86549435826511,-210341.600308762,16664
"hosp_rate","aerosols_bin","long.term",2,3.25419212577594e-06,8.66133343551532e-06,0.707137554027914,-147776.524699516,9341
"death_rate","aerosols_bin","long.term",2,1.0576292581683e-06,2.83708749041147e-06,0.709310803914922,-362143.619557445,20950
"case_rate","aerosols_bin","long.term",2,-9.98987327812045e-06,2.77523580930013e-05,0.718877084280782,-266588.875462465,20950
"hosp_rate","pm25_bin","long.term",2,3.50135732612516e-05,3.02249176285411e-06,9.02945740781795e-31,-121908.967452815,7686
"death_rate","pm25_bin","long.term",2,1.00016163567114e-06,1.26897143588214e-06,0.430610258678771,-284336.181404013,16664
"case_rate","pm25_bin","long.term",2,3.5416610143441e-05,1.16828450995915e-05,0.00243715204966293,-210350.859092993,16664
"hosp_rate","aerosols","recent",3,1.31551455779394e-06,6.09157456922168e-07,0.0309553489351618,-27516.9169860021,1623
"death_rate","aerosols","recent",3,3.41143496287871e-08,5.0295288576772e-08,0.497633958087147,-82217.4949936712,3902
"case_rate","aerosols","recent",3,2.37154467226824e-07,1.06022945146738e-06,0.823016395879399,-58428.3337523882,3902
"hosp_rate","pm25","recent",3,-9.14961066611431e-08,2.87006948797013e-08,0.00146885436693129,-21366.2441052661,1263
"death_rate","pm25","recent",3,-2.16775323530029e-09,1.67456147007391e-09,0.195592512998633,-60555.5920971839,2831
"case_rate","pm25","recent",3,-1.06731721813047e-07,4.38889862924279e-08,0.0150838892149532,-42062.8654730712,2831
"hosp_rate","aerosols_bin","recent",3,4.54162123653393e-06,5.15979234677377e-06,0.378886759610462,-27512.9590424326,1623
"death_rate","aerosols_bin","recent",3,-7.62033880683803e-08,4.37821151883103e-07,0.861834164418403,-82217.0616959367,3902
"case_rate","aerosols_bin","recent",3,-1.43321879662741e-05,9.22598252851968e-06,0.120395224662248,-58430.7157370117,3902
"hosp_rate","pm25_bin","recent",3,8.91578589864521e-06,4.29662715284231e-06,0.0381870419743973,-21360.2891211885,1263
"death_rate","pm25_bin","recent",3,3.40688314429115e-07,2.72368103278331e-07,0.211098063958367,-60555.4798646297,2831
"case_rate","pm25_bin","recent",3,2.00381080882979e-06,7.14584626770997e-06,0.779178929883372,-42056.9781803273,2831
"hosp_rate","aerosols","long.term",3,1.18735255822998e-05,8.67022781233253e-07,2.85410845233467e-42,-147684.700665201,9324
"death_rate","aerosols","long.term",3,1.94948277902771e-07,2.79928514535045e-07,0.486172624959551,-361119.066274303,20894
"case_rate","aerosols","long.term",3,8.89888325203423e-06,2.73744031536466e-06,0.00115262795155723,-265832.217217715,20894
"hosp_rate","pm25","long.term",3,3.45299278075275e-08,4.53907347182547e-08,0.446844319692903,-122380.93149944,7722
"death_rate","pm25","long.term",3,-5.43043916254466e-10,1.38408407394838e-08,0.968703587045791,-285564.170062114,16732
"case_rate","pm25","long.term",3,2.52684572878504e-08,1.27473206685701e-07,0.842870966462219,-211264.636366442,16732
"hosp_rate","aerosols_bin","long.term",3,5.22084815565824e-06,8.78847278345111e-06,0.552489119840751,-147495.679640112,9324
"death_rate","aerosols_bin","long.term",3,-3.63666433471934e-08,2.85336753169388e-06,0.989831226762162,-361118.577108124,20894
"case_rate","aerosols_bin","long.term",3,-1.7446994358424e-05,2.79098070765899e-05,0.531898819695411,-265821.952065495,20894
"hosp_rate","pm25_bin","long.term",3,3.49630875210339e-05,3.01526322824526e-06,7.93462703858839e-31,-122516.805653066,7722
"death_rate","pm25_bin","long.term",3,9.4167233562785e-07,1.26607733369915e-06,0.457025236248004,-285564.727742412,16732
"case_rate","pm25_bin","long.term",3,3.33140099225369e-05,1.16578191403551e-05,0.00427318153147805,-211272.850096608,16732
"hosp_rate","aerosols","recent",4,1.35007430506334e-06,6.06421297973271e-07,0.0261338315416191,-27500.7830865831,1622
"death_rate","aerosols","recent",4,8.7458913432368e-08,5.04147781075006e-08,0.0828581765011292,-82153.9246808124,3899
"case_rate","aerosols","recent",4,3.04196030939783e-06,1.06055733095434e-06,0.00414963808109342,-58399.1464339843,3899
"hosp_rate","pm25","recent",4,-8.15980741631212e-08,2.84812820337173e-08,0.00423843379930289,-22208.9187342733,1312
"death_rate","pm25","recent",4,-1.96046332366903e-09,1.92825107889732e-09,0.309378078738275,-62045.5926895896,2940
"case_rate","pm25","recent",4,-1.13490821126111e-07,4.3355692021298e-08,0.00889912559543216,-43742.1841410215,2940
"hosp_rate","aerosols_bin","recent",4,5.89625965179881e-06,5.15807097264731e-06,0.253163520395854,-27497.0695882822,1622
"death_rate","aerosols_bin","recent",4,2.45167535050785e-07,4.40851602659336e-07,0.578159229101372,-82151.2032894003,3899
"case_rate","aerosols_bin","recent",4,6.60342369270677e-06,9.28004763578993e-06,0.476772663200772,-58391.3707089051,3899
"hosp_rate","pm25_bin","recent",4,9.07445835076396e-06,4.16424646841202e-06,0.029503004762293,-22205.3988790757,1312
"death_rate","pm25_bin","recent",4,6.55877221122859e-07,3.06209072115617e-07,0.0322821764908003,-62049.1787924331,2940
"case_rate","pm25_bin","recent",4,2.91097636506798e-06,6.89703952079059e-06,0.673011135529197,-43735.4517281544,2940
"hosp_rate","aerosols","long.term",4,1.20674236739679e-05,8.67833063826118e-07,1.63435850858885e-43,-147361.06578202,9304
"death_rate","aerosols","long.term",4,3.09031919849407e-07,2.81299769517635e-07,0.271961602729778,-360021.85839244,20834
"case_rate","aerosols","long.term",4,1.1170291381772e-05,2.75033169020332e-06,4.89521444487442e-05,-265016.489073806,20834
"hosp_rate","pm25","long.term",4,4.15749337422064e-08,4.52825669566083e-08,0.358584089685693,-122940.48733093,7755
"death_rate","pm25","long.term",4,1.92520123794468e-09,1.38205807147871e-08,0.889215101676133,-286705.097166528,16796
"case_rate","pm25","long.term",4,2.24323526523255e-08,1.27209147018431e-07,0.860027187084594,-212141.817513805,16796
"hosp_rate","aerosols_bin","long.term",4,5.90607131400496e-06,8.79441593027598e-06,0.501874100557865,-147166.331203798,9304
"death_rate","aerosols_bin","long.term",4,2.5959783348074e-07,2.87635538035326e-06,0.928087559844744,-360020.648942964,20834
"case_rate","aerosols_bin","long.term",4,5.27769457000881e-06,2.81331693526076e-05,0.851194521738325,-264999.888191941,20834
"hosp_rate","pm25_bin","long.term",4,3.4666869913471e-05,3.00678157464872e-06,1.68093858063441e-30,-123074.568704934,7755
"death_rate","pm25_bin","long.term",4,3.97324530163741e-06,1.26323863108185e-06,0.0016621776704661,-286715.075761839,16796
"case_rate","pm25_bin","long.term",4,5.74391034477017e-05,1.16221868870973e-05,7.80005622742057e-07,-212166.460795209,16796
"hosp_rate","aerosols","recent",5,1.25725016833137e-06,6.041701701144e-07,0.0375978624755278,-27483.6162221679,1621
"death_rate","aerosols","recent",5,-1.64961622031025e-08,5.03713634251196e-08,0.743314379920979,-82084.8294728529,3896
"case_rate","aerosols","recent",5,2.15957778591755e-06,1.0595878727514e-06,0.0416048985027927,-58348.7417926628,3896
"hosp_rate","pm25","recent",5,-7.36256865951579e-08,2.82019461570347e-08,0.00913827184029581,-23059.5083439875,1361
"death_rate","pm25","recent",5,-2.38800885922027e-09,1.98912550449427e-09,0.230026973706375,-64145.4598862619,3049
"case_rate","pm25","recent",5,-1.05678147824952e-07,4.2976468513955e-08,0.0139890819274563,-45406.5642898347,3049
"hosp_rate","aerosols_bin","recent",5,4.73821800164983e-06,5.15811803578649e-06,0.358447121299333,-27480.0674652493,1621
"death_rate","aerosols_bin","recent",5,-4.12340280413387e-07,4.40986734751052e-07,0.349826064047391,-82085.6027767256,3896
"case_rate","aerosols_bin","recent",5,4.9341723424195e-06,9.28195240051803e-06,0.595042097658311,-58344.8405826225,3896
"hosp_rate","pm25_bin","recent",5,9.6881728905234e-06,4.08992894117411e-06,0.017988611703042,-23058.282530065,1361
"death_rate","pm25_bin","recent",5,6.64010054852216e-07,3.10263710333264e-07,0.0324227806065593,-64148.6268737091,3049
"case_rate","pm25_bin","recent",5,3.74107768992521e-06,6.71331788723205e-06,0.577389670994678,-45400.7773547466,3049
"hosp_rate","aerosols","long.term",5,1.20570076642093e-05,8.67526547421387e-07,1.80532487465359e-43,-147025.182199109,9282
"death_rate","aerosols","long.term",5,1.53135471544566e-07,2.81940662692279e-07,0.587033874436873,-358814.496319936,20768
"case_rate","aerosols","long.term",5,9.76488487957389e-06,2.75674200951172e-06,0.000397707439375239,-264107.922236705,20768
"hosp_rate","pm25","long.term",5,5.28817746675798e-08,4.50912456439874e-08,0.240923775230629,-123497.268884277,7786
"death_rate","pm25","long.term",5,-1.19510606954363e-09,1.37984003548952e-08,0.930981023880928,-287748.533484039,16854
"case_rate","pm25","long.term",5,-6.70989070913873e-09,1.27017641987641e-07,0.957870822356352,-212924.414380878,16854
"hosp_rate","aerosols_bin","long.term",5,5.06885429945044e-06,8.78844670133843e-06,0.564113574299028,-146830.519513377,9282
"death_rate","aerosols_bin","long.term",5,-2.53590005483681e-07,2.88089143607511e-06,0.929857790256341,-358814.206478923,20768
"case_rate","aerosols_bin","long.term",5,4.97496163502088e-06,2.81769687599589e-05,0.859854748364409,-264095.297713908,20768
"hosp_rate","pm25_bin","long.term",5,3.44024374464185e-05,2.98439691622982e-06,1.71831729291543e-30,-123630.765131437,7786
"death_rate","pm25_bin","long.term",5,9.90507744670165e-07,1.25912944516239e-06,0.431491654176456,-287749.151516675,16854
"case_rate","pm25_bin","long.term",5,3.09154470401952e-05,1.1588333859598e-05,0.00764217340817431,-212931.60534892,16854
"hosp_rate","aerosols","recent",6,1.36585073836694e-06,6.02467236390379e-07,0.0235182565122639,-27467.8723816328,1620
"death_rate","aerosols","recent",6,1.49446916715582e-08,5.03462445113469e-08,0.766605960236033,-82018.7172330131,3893
"case_rate","aerosols","recent",6,1.69613010289092e-06,1.05744290729825e-06,0.108797577174388,-58312.8006610262,3893
"hosp_rate","pm25","recent",6,-7.1706789263746e-08,2.80748830524248e-08,0.0107522773665672,-23882.6742219793,1409
"death_rate","pm25","recent",6,-1.82348446117649e-09,1.9693420955058e-09,0.354550791692197,-66473.1774238658,3157
"case_rate","pm25","recent",6,-1.120554318239e-07,4.23656220813725e-08,0.00821090615840639,-47097.7989349595,3157
"hosp_rate","aerosols_bin","recent",6,5.35601510542335e-06,5.1570909603418e-06,0.299161405472508,-27463.7401485104,1620
"death_rate","aerosols_bin","recent",6,-3.57938739522269e-07,4.41162354118293e-07,0.417212552041062,-82019.29208511,3893
"case_rate","aerosols_bin","recent",6,-1.31971291076584e-07,9.26968540442902e-06,0.988641741816315,-58310.20761524,3893
"hosp_rate","pm25_bin","recent",6,8.72722567790792e-06,4.00566226074524e-06,0.0295212748983093,-23880.8649218575,1409
"death_rate","pm25_bin","recent",6,2.69941307969477e-07,3.01653163030717e-07,0.370923811945405,-66473.1203188165,3157
"case_rate","pm25_bin","recent",6,1.0748209714567e-05,6.49369036661827e-06,0.0979888935637882,-47093.5072010996,3157
"hosp_rate","aerosols","long.term",6,1.20842099926211e-05,8.67871953883317e-07,1.27114163337742e-43,-146664.205590435,9259
"death_rate","aerosols","long.term",6,1.49971820277423e-07,2.82523306787949e-07,0.595542401237473,-357534.057644255,20698
"case_rate","aerosols","long.term",6,9.97610309893684e-06,2.76220649598006e-06,0.000304989489392273,-263150.182265231,20698
"hosp_rate","pm25","long.term",6,6.26629785302124e-08,4.49432074741871e-08,0.163276582623978,-124039.989716313,7817
"death_rate","pm25","long.term",6,-1.10023030441859e-09,1.37766651952806e-08,0.936348068310964,-288740.183621311,16909
"case_rate","pm25","long.term",6,-1.78639130309181e-08,1.26814067388134e-07,0.887976734954113,-213672.822039099,16909
"hosp_rate","aerosols_bin","long.term",6,5.40172008052262e-06,8.78719760650675e-06,0.538751004902787,-146468.867011079,9259
"death_rate","aerosols_bin","long.term",6,-2.53976183392717e-07,2.88580220062383e-06,0.929870487378373,-357533.781139948,20698
"case_rate","aerosols_bin","long.term",6,-3.84315368582944e-06,2.82230120993695e-05,0.891687495158071,-263137.043555192,20698
"hosp_rate","pm25_bin","long.term",6,3.41531245800592e-05,2.97504519152187e-06,2.94746551426666e-30,-124171.811452404,7817
"death_rate","pm25_bin","long.term",6,-2.0079076926671e-06,1.25684545515049e-06,0.110155986474195,-288742.757308,16909
"case_rate","pm25_bin","long.term",6,7.55120159489638e-06,1.15699900625242e-05,0.513988261927082,-213673.232615375,16909
"hosp_rate","aerosols","recent",7,1.39473931788664e-06,6.03816582225955e-07,0.0210229209951738,-27451.5271911773,1619
"death_rate","aerosols","recent",7,3.13293033109104e-08,5.03622904321581e-08,0.533926943923181,-81952.797131394,3890
"case_rate","aerosols","recent",7,3.17084590177863e-06,1.05560841946335e-06,0.00268335297562235,-58281.1365772773,3890
"hosp_rate","pm25","recent",7,-7.18475839429433e-08,2.8170562958414e-08,0.0108657353532654,-23898.1037234115,1410
"death_rate","pm25","recent",7,-1.68084541124878e-09,1.94513258052458e-09,0.387581152708916,-68816.3526176424,3265
"case_rate","pm25","recent",7,-7.44714304341429e-08,4.19442147531862e-08,0.0759114741846419,-48762.6548642335,3265
"hosp_rate","aerosols_bin","recent",7,4.54443302282638e-06,5.18415092913217e-06,0.380835862189268,-27446.879882488,1619
"death_rate","aerosols_bin","recent",7,3.50325057337555e-07,4.41334863357462e-07,0.42736934238356,-81953.0422286398,3890
"case_rate","aerosols_bin","recent",7,1.03321877240453e-05,9.26011729890443e-06,0.264588858057262,-58273.3045648128,3890
"hosp_rate","pm25_bin","recent",7,9.80051008024927e-06,4.056104132641e-06,0.0158110406100958,-23897.4251877544,1410
"death_rate","pm25_bin","recent",7,2.71778089546786e-07,2.92684724018762e-07,0.353181586934112,-68816.4692543762,3265
"case_rate","pm25_bin","recent",7,1.26617983780112e-05,6.31062067874128e-06,0.0448938676751166,-48763.5359233939,3265
"hosp_rate","aerosols","long.term",7,1.23841463838765e-05,8.69397126314407e-07,1.50325568469155e-45,-146295.214526754,9235
"death_rate","aerosols","long.term",7,2.30421419307736e-07,2.83057725759006e-07,0.415629276653168,-356199.56854307,20625
"case_rate","aerosols","long.term",7,1.19486263700073e-05,2.7669120095082e-06,1.57906233335008e-05,-262156.320156174,20625
"hosp_rate","pm25","long.term",7,6.63025083746829e-08,4.5100194521848e-08,0.141571703683754,-123783.967047729,7800
"death_rate","pm25","long.term",7,-5.38969624750319e-10,1.375433024759e-08,0.968742999933206,-289699.456316035,16962
"case_rate","pm25","long.term",7,1.69866659768792e-08,1.2661355463681e-07,0.893276468662284,-214395.440496438,16962
"hosp_rate","aerosols_bin","long.term",7,4.22881141127376e-06,8.82957970062391e-06,0.631995098582776,-146090.703746774,9235
"death_rate","aerosols_bin","long.term",7,3.78915561632079e-07,2.89093736936321e-06,0.895721113234273,-356198.917223551,20625
"case_rate","aerosols_bin","long.term",7,8.82278365675503e-06,2.82715195477634e-05,0.754988074436119,-262137.609661631,20625
"hosp_rate","pm25_bin","long.term",7,3.47655177119862e-05,2.99215930045479e-06,6.0215766893616e-31,-123918.802540084,7800
"death_rate","pm25_bin","long.term",7,7.91466043636575e-07,1.25467660173511e-06,0.528171534554773,-289699.857071522,16962
"case_rate","pm25_bin","long.term",7,3.00781962325865e-05,1.15475571464235e-05,0.0092029459155108,-214402.280311463,16962
"hosp_rate","aerosols","recent",8,1.28875083651888e-06,6.05515613319515e-07,0.0334615320901809,-27434.1140068892,1618
"death_rate","aerosols","recent",8,1.37561429522233e-07,5.04092610392013e-08,0.00638358633320831,-81893.7935546983,3887
"case_rate","aerosols","recent",8,4.72100521377724e-06,1.0559696095077e-06,8.01775809218762e-06,-58244.9763360605,3887
"hosp_rate","pm25","recent",8,-7.19598080077709e-08,2.81510378063859e-08,0.0106884149889797,-23912.3423505346,1411
"death_rate","pm25","recent",8,-2.40873409619107e-09,1.94150220272096e-09,0.21482330814058,-68817.5400249873,3265
"case_rate","pm25","recent",8,-5.76255084584249e-08,4.18810548402677e-08,0.168937807453606,-48761.4836849144,3265
"hosp_rate","aerosols_bin","recent",8,4.70602891706267e-06,5.21121570699488e-06,0.366632273528344,-27430.3334444406,1618
"death_rate","aerosols_bin","recent",8,1.00407517166647e-06,4.42232714412473e-07,0.0232341581475034,-81891.4864740611,3887
"case_rate","aerosols_bin","recent",8,2.167883111744e-05,9.27852131360642e-06,0.0195186064923491,-58230.3750696772,3887
"hosp_rate","pm25_bin","recent",8,9.50894014406994e-06,4.14351706004938e-06,0.0218885873846918,-23911.0517585271,1411
"death_rate","pm25_bin","recent",8,2.81536599646004e-07,2.93287770660419e-07,0.337160736358809,-68816.9163947164,3265
"case_rate","pm25_bin","recent",8,1.58437976827012e-05,6.32175774896425e-06,0.0122512589987883,-48765.9095357982,3265
"hosp_rate","aerosols","long.term",8,1.22209646680114e-05,8.62197876951404e-07,4.02743893436305e-45,-146057.656182042,9208
"death_rate","aerosols","long.term",8,2.78582710775451e-07,2.83980309584336e-07,0.326607822918116,-354773.661056703,20547
"case_rate","aerosols","long.term",8,1.22144549240351e-05,2.77580467847989e-06,1.08635733221982e-05,-261087.92743986,20547
"hosp_rate","pm25","long.term",8,6.5676193964903e-08,4.45927034379671e-08,0.140846029382634,-123715.039265229,7782
"death_rate","pm25","long.term",8,-1.59353608715866e-09,1.37985766981054e-08,0.908061667777796,-288649.651336304,16904
"case_rate","pm25","long.term",8,3.09144841027064e-08,1.27014110023676e-07,0.807703105499918,-213604.92707165,16904
"hosp_rate","aerosols_bin","long.term",8,4.08278304349878e-06,8.78150012562524e-06,0.641992788442325,-145855.121056223,9208
"death_rate","aerosols_bin","long.term",8,1.03735511265041e-06,2.90297213605673e-06,0.720839174066673,-354772.818842198,20547
"case_rate","aerosols_bin","long.term",8,2.04536923037484e-05,2.83880459770748e-05,0.471223190386829,-261068.921738077,20547
"hosp_rate","pm25_bin","long.term",8,3.50750388928973e-05,2.97077513078411e-06,6.84075334399309e-32,-123854.297857209,7782
"death_rate","pm25_bin","long.term",8,8.82980742521252e-07,1.2658139592649e-06,0.485462323167281,-288650.129818366,16904
"case_rate","pm25_bin","long.term",8,3.39110009292595e-05,1.16488870787436e-05,0.00360641651264588,-213613.433243004,16904
"hosp_rate","aerosols","recent",9,1.23089287316047e-06,6.03598797070562e-07,0.0415898852059729,-27417.1300103855,1617
"death_rate","aerosols","recent",9,1.46028137898844e-08,5.04655370970404e-08,0.772319867386606,-81820.2762729619,3884
"case_rate","aerosols","recent",9,1.24357079265462e-06,1.05859314867641e-06,0.240171713646113,-58179.1029879058,3884
"hosp_rate","pm25","recent",9,-6.52914044700195e-08,2.81821363312853e-08,0.0206623192641384,-23907.6955037715,1411
"death_rate","pm25","recent",9,-2.65621028517452e-09,1.93431086999677e-09,0.169783059762029,-68817.9694912149,3265
"case_rate","pm25","recent",9,-3.32129074433041e-08,4.16492615901456e-08,0.425252421959917,-48773.9221616358,3265
"hosp_rate","aerosols_bin","recent",9,3.99383993745237e-06,5.21099931006008e-06,0.44353754387135,-27413.4944858048,1617
"death_rate","aerosols_bin","recent",9,2.28859420330879e-07,4.43677937408449e-07,0.606007428155753,-81820.4601226653,3884
"case_rate","aerosols_bin","recent",9,-1.63084387753543e-05,9.30501283517888e-06,0.0797415062176598,-58180.8078299984,3884
"hosp_rate","pm25_bin","recent",9,9.30793829162397e-06,4.25333247965667e-06,0.0288085685105179,-23907.1063152016,1411
"death_rate","pm25_bin","recent",9,3.25157067234493e-07,2.97127212495546e-07,0.273889073976882,-68817.2748841679,3265
"case_rate","pm25_bin","recent",9,8.31287980430426e-06,6.39597185592761e-06,0.193794585972829,-48774.9855241709,3265
"hosp_rate","aerosols","long.term",9,1.20169273569276e-05,8.53552206232828e-07,1.52205486534813e-44,-145789.628078159,9179
