"","RACE_WHITE","RACE_BLACK","RACE_NATAM","RACE_OTHER","RACE_HISP","INCOME_PERCAP","FIPS_STATE","FIPS_COUNTY"
"1948",0.940901658491007,0.0167250642373277,0.0043447792571829,0.0170053725765008,0.0240130810558281,145163,"37","115"
"1949",0.52064717619502,0.419102975622452,0.0048147826841329,0.0213411989242648,0.0388218964171077,135236,"37","117"
"1950",0.473040289704965,0.308128318508528,0.00247744030715707,0.054367105055989,0.130326449236186,NA,"37","119"
"1951",0.924002659574468,0.00332446808510638,0.00425531914893617,0.0253989361702128,0.0527260638297872,94776,"37","121"
"1952",0.632672470553808,0.179749798814836,0.00413344063208721,0.0303240910088521,0.152754407784037,138740,"37","123"
"1953",0.771952022921917,0.12635288458522,0.00813560739942904,0.028317769714208,0.0649802884062366,631363,"37","125"
"1954",0.503771156239694,0.390551365381956,0.00610618810037978,0.044317734540387,0.0681680371903024,473693,"37","127"
"1955",0.770879138031762,0.137081848629315,0.00175711654499155,0.0442356320044954,0.0542253301283052,NA,"37","129"
"1956",0.386654116714555,0.564450609333201,0.00346774992569107,0.0452293668879421,0.0211532745467155,111508,"37","131"
"1957",0.664311646520071,0.134674491521927,0.00380585007632328,0.102783736952845,0.124252238128636,NA,"37","133"
"1958",0.693475492871035,0.112181505268018,0.00499517273223356,0.056884803201388,0.0840504274580587,1172146,"37","135"
"1959",0.74226965939413,0.180191492701303,0.00172657353633652,0.0630984146915712,0.0374352534923874,NA,"37","137"
"1960",0.548342156589579,0.363788343169786,0.000886547278299856,0.036880366777274,0.0514450720636288,224395,"37","139"
"1961",0.747848187055235,0.148813961369027,0.00216875635377838,0.0521179261267367,0.068942731277533,NA,"37","141"
"1962",0.721004532283231,0.236496024964708,0.00401218515491493,0.0166431384203878,0.0257077048814919,76003,"37","143"
"1963",0.663732349573846,0.265207988805496,0.00440147563923165,0.0397913751431116,0.0422083704363313,179602,"37","145"
"1964",0.546867600297679,0.34523487359899,0.00259341947996302,0.0490889204609521,0.0614696795435582,815792,"37","147"
"1965",0.857512953367876,0.0513246651676606,0.000537686968423111,0.0360250268843484,0.0578746700557239,213806,"37","149"
"1966",0.793561745407742,0.059423047328586,0.00283299990206914,0.037304662907987,0.112403643028022,666195,"37","151"
"1967",0.573170461838058,0.316515081103808,0.0232136139325942,0.0286574166279404,0.0635110314457058,225234,"37","153"
"1968",0.254882270949176,0.238920279971823,0.391600845311071,0.0426702237676294,0.086674360396277,560228,"37","155"
"1969",0.725112304152514,0.183620028486907,0.00422921003615646,0.0393009751287389,0.06021693875315,490396,"37","157"
"1970",0.723885247663049,0.158848178790158,0.00255005193223738,0.0389957379750009,0.0858565237634755,741061,"37","159"
"1971",0.834380448505982,0.0962544339565923,0.00508026212950159,0.0353363794865629,0.0423405278662899,301018,"37","161"
"1972",0.512405405830619,0.249272352543226,0.0161577067698746,0.0472931514608014,0.193467692452919,239813,"37","163"
"1973",0.436050138959787,0.389285916851001,0.113464919743633,0.0492881855822131,0.0292099143553967,127258,"37","165"
"1974",0.808472690381909,0.110465687076611,0.00261805805543738,0.0357364924567202,0.041005334293288,319670,"37","167"
"1975",0.91238427186581,0.0426315216207385,0.00409541444287115,0.0172748066659405,0.0286243328613441,224614,"37","169"
"1976",0.842147602601978,0.0368798457676251,0.00357841301543711,0.0150487524098809,0.103330143275219,533455,"37","171"
"1977",0.62214115336046,0.00420934474533464,0.277957064683598,0.0822225340255367,0.0512838501473271,NA,"37","173"
"1978",0.903052546772894,0.0447587503356906,0.00307343418971742,0.0272729985378808,0.0325246919106019,196826,"37","175"
"1979",0.533381888807963,0.373877154649187,0.00849720806020879,0.0395727118232581,0.0638504491381403,18682,"37","177"
"1980",0.725921285962575,0.112358509709123,0.00251881390773466,0.0427360230089901,0.110479324552039,1378611,"37","179"
"1981",0.400184344229126,0.499370531900544,0.00276516343689582,0.03138348095859,0.0757385009666832,224981,"37","181"
"1982",0.603117075212267,0.198216439031568,0.00258370773526169,0.0549506095218803,0.100673827919714,NA,"37","183"
"1983",0.383167773174262,0.50521639295163,0.0503169769879699,0.0372884740178705,0.0375879798332751,151188,"37","185"
"1984",0.444554129647911,0.473428759460349,0.00263244488318526,0.0477953274103323,0.0527311615663047,61702,"37","187"
"1985",0.918842507899551,0.0163719348818301,0.0060794205148105,0.0291036088474971,0.034776502762533,373930,"37","189"
"1986",0.537410686924404,0.302583829293076,0.00268544055741036,0.0566845696037161,0.115482008354704,604934,"37","191"
"1987",0.875547765118317,0.0401694420099328,0.0028045574057844,0.0227870289219982,0.0630441133508618,329039,"37","193"
"1988",0.471943542834661,0.390515884725091,0.00320891118323989,0.0447772204190027,0.102168781351431,418157,"37","195"
"1989",0.844470994291783,0.0347272003185982,0.00153989114562591,0.0165671047391477,0.109385371034117,165185,"37","197"
"1990",0.926020263768608,0.00730174902360333,0.00356597045338767,0.0192449199071716,0.050885832342786,114416,"37","199"
"1991",0.914079115270098,0.0204168438962144,0.0119098256061251,0.00595491280306253,0.0174393874946831,33652,"38","001"
"1992",0.927740863787375,0.0240863787375415,0.012827611664821,0.020671834625323,0.019656699889258,134478,"38","003"
"1993",0.409090909090909,0.000290444379901249,0.556636654080744,0.0464711007841998,0.00914899796688934,103514,"38","005"
"1994",0.922832980972516,0.0116279069767442,0.00528541226215645,0,0.0602536997885835,45523,"38","007"
"1995",0.916831082106541,0.00910608590074366,0.0352101988162088,0.0265594172105024,0.0224616785551677,105925,"38","009"
"1996",0.93302034428795,0.000312989045383412,0.00719874804381847,0.010641627543036,0.0541471048513302,72892,"38","011"
"1997",0.938093086308179,0.00632625395390872,0.00948938093086308,0.0298237686398554,0.0311793944871216,35806,"38","013"
"1998",0.894022637805776,0.0208028846666738,0.0370398028526622,0.0356849483128327,0.0234165804324866,701020,"38","015"
"1999",0.861063592840495,0.0505390294026475,0.00863365518191525,0.0470947520694366,0.0258607823101916,1130996,"38","017"
"2000",0.951098326359833,0.00104602510460251,0.0125523012552301,0.0468096234309623,0.0117677824267782,86379,"38","019"
"2001",0.933802816901408,0.0114688128772636,0.013682092555332,0.00563380281690141,0.03420523138833,98945,"38","021"
"2002",0.917264668636556,0.0109750949767835,0.013507809202195,0.0185732376530182,0.0240607851414099,45190,"38","023"
